"","Proteome.ID","Pathogen","0_(0,1]","0_(1,2]","0_(2,3]","0_(3,4]","0_(4,6]","0_(6,10]","0_(10,20]","0_(20,323]","1_(0,1]","1_(1,2]","1_(2,3]","1_(3,4]","1_(4,6]","1_(6,10]","1_(10,20]","1_(20,323]","2_(0,1]","2_(1,2]","2_(2,3]","2_(3,4]","2_(4,6]","2_(6,10]","2_(10,20]","2_(20,323]","3_(0,1]","3_(1,2]","3_(2,3]","3_(3,4]","3_(4,6]","3_(6,10]","3_(10,20]","3_(20,323]"
"69","UP000008627","Hantaan virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (3/3)",NA,NA,NA,NA,NA,NA,NA,"94.52% (69/73)","2.74% (2/73)","2.74% (2/73)",NA,NA,NA,NA,NA
"70","UP000008649","Rabies virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (3/3)",NA,NA,NA,NA,NA,NA,NA,"97.4% (75/77)","2.6% (2/77)",NA,NA,NA,NA,NA,NA
"71","UP000008663","Mengo encephalomyocarditis virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (1/1)",NA,NA,NA,NA,NA,NA,NA,"93.62% (44/47)","2.13% (1/47)","4.26% (2/47)",NA,NA,NA,NA,NA
"72","UP000008683","Human enterovirus 70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (1/1)",NA,NA,NA,NA,NA,NA,NA,"88.89% (32/36)","8.33% (3/36)","2.78% (1/36)",NA,NA,NA,NA,NA
"73","UP000008699","Measles virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (2/2)",NA,NA,NA,NA,NA,NA,NA,"89.17% (107/120)","8.33% (10/120)",NA,NA,NA,"2.5% (3/120)",NA,NA
"74","UP000008767","Crimean-Congo hemorrhagic fever virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (2/2)",NA,NA,NA,NA,NA,NA,NA,"85.47% (147/172)","8.72% (15/172)","3.49% (6/172)",NA,"0.58% (1/172)","0.58% (1/172)","0.58% (1/172)","0.58% (1/172)"
"75","UP000008868","Onyong-nyong virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (2/2)",NA,NA,NA,NA,NA,NA,NA,"95.83% (46/48)","2.08% (1/48)",NA,"2.08% (1/48)",NA,NA,NA,NA
"76","UP000009109","Human papillomavirus type 18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (1/1)",NA,NA,NA,NA,NA,NA,NA,"93.18% (41/44)","6.82% (3/44)",NA,NA,NA,NA,NA,NA
"77","UP000009255","Influenza A virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66.67% (2/3)","33.33% (1/3)",NA,NA,NA,NA,NA,NA,"88.5% (100/113)","8.85% (10/113)",NA,NA,"2.65% (3/113)",NA,NA,NA
"78","UP000029753","Cosavirus A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66.67% (2/3)",NA,"33.33% (1/3)",NA,NA,NA,NA,NA,"75% (42/56)","7.14% (4/56)","3.57% (2/56)",NA,"5.36% (3/56)","5.36% (3/56)",NA,"3.57% (2/56)"
"79","UP000054557","Zika virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (1/1)",NA,NA,NA,NA,NA,NA,NA,"89.19% (66/74)","5.41% (4/74)","2.7% (2/74)","1.35% (1/74)",NA,"1.35% (1/74)",NA,NA
"80","UP000109776","Human parainfluenza type 1 strain Washington/1964",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (6/6)",NA,NA,NA,NA,NA,NA,NA,"96.3% (104/108)","3.7% (4/108)",NA,NA,NA,NA,NA,NA
"81","UP000110237","Puumala virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (1/1)",NA,NA,NA,NA,NA,NA,NA,"98.51% (66/67)",NA,"1.49% (1/67)",NA,NA,NA,NA,NA
"82","UP000118542","WU polyomavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50% (1/2)","50% (1/2)",NA,NA,NA,NA,NA,NA,"88.68% (47/53)","5.66% (3/53)","5.66% (3/53)",NA,NA,NA,NA,NA
"83","UP000136458","West Nile virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (2/2)",NA,NA,NA,NA,NA,NA,NA,"98.72% (77/78)",NA,NA,NA,"1.28% (1/78)",NA,NA,NA
"84","UP000138183","Kunjin virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (2/2)",NA,NA,NA,NA,NA,NA,NA,"96.15% (75/78)","1.28% (1/78)",NA,NA,"1.28% (1/78)","1.28% (1/78)",NA,NA
"85","UP000143570","Human enterovirus D68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (1/1)",NA,NA,NA,NA,NA,NA,NA,"94.29% (33/35)","2.86% (1/35)","2.86% (1/35)",NA,NA,NA,NA,NA
"86","UP000145981","BK polyomavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (4/4)",NA,NA,NA,NA,NA,NA,NA,"91.3% (21/23)","4.35% (1/23)","4.35% (1/23)",NA,NA,NA,NA,NA
"87","UP000147828","SARS coronavirus PUMC03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64.29% (9/14)","21.43% (3/14)",NA,NA,"14.29% (2/14)",NA,NA,NA,"79.58% (152/191)","6.81% (13/191)","4.19% (8/191)","3.14% (6/191)","0.52% (1/191)","1.05% (2/191)","3.14% (6/191)","1.57% (3/191)"
"88","UP000154903","Merkel cell polyomavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (4/4)",NA,NA,NA,NA,NA,NA,NA,"65.48% (55/84)","21.43% (18/84)","7.14% (6/84)","1.19% (1/84)","1.19% (1/84)","2.38% (2/84)",NA,"1.19% (1/84)"
"89","UP000161306","Lagos bat virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (1/1)",NA,NA,NA,NA,NA,NA,NA,"94.74% (54/57)","3.51% (2/57)",NA,NA,"1.75% (1/57)",NA,NA,NA
"90","UP000171441","Venezuelan equine encephalitis virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (6/6)",NA,NA,NA,NA,NA,NA,NA,"87.88% (87/99)","6.06% (6/99)","2.02% (2/99)","3.03% (3/99)","1.01% (1/99)",NA,NA,NA
"91","UP000171868","MERS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (6/6)",NA,NA,NA,NA,NA,NA,NA,"90.48% (247/273)","5.49% (15/273)","1.83% (5/273)",NA,"1.83% (5/273)",NA,"0.37% (1/273)",NA
"92","UP000180448","Lake Victoria marburgvirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (1/1)",NA,NA,NA,NA,NA,NA,NA,"84.67% (116/137)","12.41% (17/137)","1.46% (2/137)","1.46% (2/137)",NA,NA,NA,NA
"93","UP000180575","Langat virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (2/2)",NA,NA,NA,NA,NA,NA,NA,"92.86% (78/84)","4.76% (4/84)","2.38% (2/84)",NA,NA,NA,NA,NA
"94","UP000180764","Adenoassociated virus 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (2/2)",NA,NA,NA,NA,NA,NA,NA,"87.67% (64/73)","10.96% (8/73)","1.37% (1/73)",NA,NA,NA,NA,NA
"95","UP000181622","Dhori virus (Thogotovirus dhoriense)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (2/2)",NA,NA,NA,NA,NA,NA,NA,"91.23% (52/57)","5.26% (3/57)","3.51% (2/57)",NA,NA,NA,NA,NA
"96","UP000207620","Seoul virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (3/3)",NA,NA,NA,NA,NA,NA,NA,"95.65% (66/69)","4.35% (3/69)",NA,NA,NA,NA,NA,NA
"97","UP000233900","Machupo virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (1/1)",NA,NA,NA,NA,NA,NA,NA,"92.16% (47/51)","3.92% (2/51)",NA,"3.92% (2/51)",NA,NA,NA,NA
"98","UP000464024","SARS coronavirus 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40% (4/10)","40% (4/10)",NA,"20% (2/10)",NA,NA,NA,NA,"83.87% (260/310)","7.42% (23/310)","1.29% (4/310)","0.97% (3/310)","2.26% (7/310)","0.97% (3/310)","1.29% (4/310)","1.94% (6/310)"
"99","UP000000570","Semliki forest virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84.27% (75/89)","10.11% (9/89)","2.25% (2/89)","1.12% (1/89)","2.25% (2/89)",NA,NA,NA
"100","UP000002241","Human immunodeficiency virus type 1 group M subtype B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81.82% (54/66)","6.06% (4/66)","6.06% (4/66)",NA,NA,NA,"6.06% (4/66)",NA
"101","UP000002327","Vesicular stomatitis Indiana virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"98.67% (74/75)","1.33% (1/75)",NA,NA,NA,NA,NA,NA
"102","UP000002331","Mumps virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"88.18% (97/110)","10% (11/110)","0.91% (1/110)",NA,"0.91% (1/110)",NA,NA,NA
"103","UP000002474","Lymphocytic choriomeningitis virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"85.51% (59/69)","7.25% (5/69)","2.9% (2/69)","4.35% (3/69)",NA,NA,NA,NA
"104","UP000002476","Bunyamwera virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86.54% (45/52)","13.46% (7/52)",NA,NA,NA,NA,NA,NA
"105","UP000002477","Rift valley fever virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"92.19% (59/64)","7.81% (5/64)",NA,NA,NA,NA,NA,NA
"106","UP000002500","Dengue virus type 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90.48% (57/63)","6.35% (4/63)",NA,NA,NA,"1.59% (1/63)","1.59% (1/63)",NA
"107","UP000006675","Hepatitis delta virus genotype I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60% (24/40)","20% (8/40)","10% (4/40)","5% (2/40)","5% (2/40)",NA,NA,NA
"108","UP000006724","Human hepatitis A virus genotype IB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90.48% (19/21)","9.52% (2/21)",NA,NA,NA,NA,NA,NA
"109","UP000006934","Australian bat lyssavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94% (47/50)","6% (3/50)",NA,NA,NA,NA,NA,NA
"110","UP000007209","Zaire ebolavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"89.32% (92/103)","10.68% (11/103)",NA,NA,NA,NA,NA,NA
"111","UP000007644","Louping ill virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86.42% (70/81)","7.41% (6/81)","2.47% (2/81)",NA,"2.47% (2/81)","1.23% (1/81)",NA,NA
"112","UP000007757","Coxsackievirus A16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"92.31% (36/39)","7.69% (3/39)",NA,NA,NA,NA,NA,NA
"113","UP000008768","Bunyavirus La Crosse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"93.22% (55/59)","6.78% (4/59)",NA,NA,NA,NA,NA,NA
"114","UP000008771","Hendra virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"95.16% (118/124)","4.84% (6/124)",NA,NA,NA,NA,NA,NA
"115","UP000008863","Murray valley encephalitis virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90.74% (49/54)","3.7% (2/54)","1.85% (1/54)","1.85% (1/54)",NA,"1.85% (1/54)",NA,NA
"116","UP000008926","European bat lyssavirus 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"95.38% (62/65)","4.62% (3/65)",NA,NA,NA,NA,NA,NA
"117","UP000009251","Human papillomavirus type 16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"92.5% (37/40)","2.5% (1/40)","2.5% (1/40)","2.5% (1/40)",NA,NA,NA,NA
"118","UP000029743","Rosavirus A2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81.82% (54/66)","15.15% (10/66)",NA,"3.03% (2/66)",NA,NA,NA,NA
"119","UP000107189","KI Polyomavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91.43% (32/35)","8.57% (3/35)",NA,NA,NA,NA,NA,NA
"120","UP000110644","Eastern equine encephalitis virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"92.31% (84/91)","4.4% (4/91)","3.3% (3/91)",NA,NA,NA,NA,NA
"121","UP000117552","Duvenhage virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94.55% (52/55)","5.45% (3/55)",NA,NA,NA,NA,NA,NA
"122","UP000117676","Oropouche virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91.84% (45/49)","6.12% (3/49)","2.04% (1/49)",NA,NA,NA,NA,NA
"123","UP000127886","Junin mammarenavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86.27% (44/51)","11.76% (6/51)","1.96% (1/51)",NA,NA,NA,NA,NA
"124","UP000128494","Western equine encephalitis virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96.88% (62/64)",NA,NA,"1.56% (1/64)",NA,"1.56% (1/64)",NA,NA
"125","UP000138352","Human spumaretrovirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"89.87% (71/79)","6.33% (5/79)",NA,"1.27% (1/79)","1.27% (1/79)","1.27% (1/79)",NA,NA
"126","UP000139415","Pichinde mammarenavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"89.47% (51/57)","8.77% (5/57)","1.75% (1/57)",NA,NA,NA,NA,NA
"127","UP000142444","Toscana virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91.67% (77/84)","7.14% (6/84)","1.19% (1/84)",NA,NA,NA,NA,NA
"128","UP000150053","Bunyavirus snowshoe hare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"93.85% (61/65)","6.15% (4/65)",NA,NA,NA,NA,NA,NA
"129","UP000170143","Nipah virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91.95% (80/87)","3.45% (3/87)","3.45% (3/87)","1.15% (1/87)",NA,NA,NA,NA
"130","UP000171556","St. louis encephalitis virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94.44% (68/72)","2.78% (2/72)",NA,NA,"2.78% (2/72)",NA,NA,NA
"131","UP000204017","Isfahan virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"89.83% (53/59)","5.08% (3/59)","5.08% (3/59)",NA,NA,NA,NA,NA
"132","UP000207632","Sandfly fever Turkey virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"95.71% (67/70)","4.29% (3/70)",NA,NA,NA,NA,NA,NA
"133","UP000214480","Punta toro phlebovirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"92.73% (51/55)","7.27% (4/55)",NA,NA,NA,NA,NA,NA
"134","UP000243571","Human torovirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (1/1)",NA,NA,NA,NA,NA,NA,NA
